(('charizard', 'poliwrath'), ('switch', 'lapras')): -32.66753326239895
(('lapras', 'arbok'), ('switch', 'snorlax')): -29.841535739346543
(('snorlax', 'golbat'), ('move', 'blizzard')): -39.726717933757286
(('blastoise', 'alakazam'), ('switch', 'snorlax')): -28.55587046657812
(('snorlax', 'golbat'), ('switch', 'blastoise')): -38.82787633889213
(('snorlax', 'arbok'), ('move', 'gigaimpact')): -45.870009837447526
(('snorlax', 'arbok'), ('switch', 'blastoise')): -39.93920371549517
(('snorlax', 'arbok'), ('switch', 'pikachu')): -47.65790754485441
(('pikachu', 'arbok'), ('move', 'thunderbolt')): -31.409079923493863
(('pikachu', 'ninetales'), ('switch', 'snorlax')): -21.12482104394508
(('pikachu', 'machamp'), ('move', 'thunderbolt')): -30.41943229272625
(('venusaur', 'alakazam'), ('move', 'gigadrain')): -33.81119798198987
(('charizard', 'machamp'), ('switch', 'lapras')): -27.77304417078155
(('venusaur', 'machamp'), ('move', 'sleeppowder')): -30.84501589756529
(('lapras', 'ninetales'), ('move', 'bodyslam')): -33.51769099951293
(('lapras', 'poliwrath'), ('switch', 'pikachu')): -35.28859052443997
(('lapras', 'ninetales'), ('switch', 'blastoise')): -29.897747270073452
(('snorlax', 'poliwrath'), ('move', 'gigaimpact')): -39.617449052764236
(('blastoise', 'ninetales'), ('switch', 'snorlax')): -32.22751668999945
(('blastoise', 'ninetales'), ('switch', 'charizard')): -28.751831954127308
(('blastoise', 'sandslash'), ('move', 'blizzard')): -25.916959750136424
(('blastoise', 'machamp'), ('move', 'blizzard')): -30.16207088557508
(('lapras', 'sandslash'), ('move', 'bodyslam')): -24.59905595880637
(('lapras', 'poliwrath'), ('switch', 'snorlax')): -37.10471793188319
(('pikachu', 'golem'), ('move', 'irontail')): -30.39173824412133
(('pikachu', 'golem'), ('switch', 'lapras')): -23.276694254374874
(('lapras', 'sandslash'), ('move', 'brine')): -33.81394102591071
(('blastoise', 'arcanine'), ('switch', 'lapras')): -26.295163902788815
(('lapras', 'arcanine'), ('move', 'bodyslam')): -41.26359362033026
(('lapras', 'arcanine'), ('switch', 'snorlax')): -37.96098127936123
(('charizard', 'nidoking'), ('move', 'blastburn')): -28.960725703152338
(('charizard', 'golem'), ('move', 'recharge')): -45.126401249513485
(('lapras', 'golbat'), ('move', 'bodyslam')): -34.985626467241005
(('lapras', 'alakazam'), ('switch', 'pikachu')): -33.05352835784591
(('venusaur', 'alakazam'), ('switch', 'snorlax')): -27.55799143638961
(('blastoise', 'machamp'), ('switch', 'pikachu')): -34.479885331897975
(('pikachu', 'arbok'), ('switch', 'snorlax')): -30.13745882334271
(('snorlax', 'arbok'), ('switch', 'lapras')): -24.757932602291337
(('snorlax', 'alakazam'), ('switch', 'venusaur')): -36.31419326021172
(('venusaur', 'alakazam'), ('move', 'frenzyplant')): -30.11926097780569
(('venusaur', 'arcanine'), ('move', 'recharge')): -51.87837149965719
(('lapras', 'sandslash'), ('switch', 'charizard')): -24.570096107200587
(('charizard', 'alakazam'), ('move', 'blastburn')): -35.93009169046198
(('charizard', 'arcanine'), ('switch', 'blastoise')): -33.77777138027936
(('venusaur', 'golem'), ('switch', 'charizard')): -37.54799138892766
(('charizard', 'golem'), ('switch', 'blastoise')): -33.50001899682526
(('blastoise', 'golem'), ('move', 'hydrocannon')): -35.15379434976478
(('blastoise', 'sandslash'), ('move', 'recharge')): -20.93045376222816
(('venusaur', 'machamp'), ('move', 'frenzyplant')): -34.621754462707294
(('venusaur', 'pidgeot'), ('move', 'recharge')): -29.86108345134785
(('venusaur', 'sandslash'), ('move', 'frenzyplant')): -26.774666953737903
(('venusaur', 'arbok'), ('move', 'recharge')): -43.6746723911905
(('snorlax', 'pidgeot'), ('move', 'blizzard')): -32.878032125225666
(('snorlax', 'pidgeot'), ('move', 'gigaimpact')): -32.90336801521364
(('venusaur', 'golem'), ('move', 'recharge')): -32.67913246066292
(('pikachu', 'golem'), ('switch', 'charizard')): -33.01389941125022
(('snorlax', 'poliwrath'), ('switch', 'venusaur')): -32.531882070786054
(('snorlax', 'nidoking'), ('switch', 'venusaur')): -40.40188840586384
(('snorlax', 'pidgeot'), ('switch', 'blastoise')): -35.15286483663426
(('charizard', 'poliwrath'), ('move', 'dragonpulse')): -31.55187007814923
(('lapras', 'pidgeot'), ('switch', 'charizard')): -28.820941163202527
(('blastoise', 'pidgeot'), ('switch', 'lapras')): -22.111143966731703
(('snorlax', 'pidgeot'), ('switch', 'charizard')): -28.711824747279167
(('charizard', 'pidgeot'), ('switch', 'snorlax')): -31.541273237329143
(('snorlax', 'pidgeot'), ('switch', 'lapras')): -25.155485734818978
(('venusaur', 'machamp'), ('switch', 'blastoise')): -29.847317393179182
(('snorlax', 'alakazam'), ('move', 'blizzard')): -37.19499671945467
(('snorlax', 'alakazam'), ('switch', 'pikachu')): -36.33166111701385
(('charizard', 'alakazam'), ('move', 'dragonpulse')): -38.08699074244689
(('charizard', 'alakazam'), ('switch', 'pikachu')): -34.19453464788551
(('pikachu', 'pidgeot'), ('switch', 'lapras')): -26.376158579738597
(('lapras', 'pidgeot'), ('move', 'psychic')): -26.895782510753822
(('lapras', 'sandslash'), ('switch', 'snorlax')): -27.39209951275842
(('blastoise', 'nidoking'), ('switch', 'lapras')): -31.883342425100917
(('charizard', 'nidoqueen'), ('move', 'blastburn')): -33.00843476422821
(('charizard', 'nidoqueen'), ('move', 'recharge')): -34.86658728001629
(('venusaur', 'golbat'), ('move', 'frenzyplant')): -38.296797792270965
(('venusaur', 'golbat'), ('switch', 'pikachu')): -33.2569304498049
(('charizard', 'arcanine'), ('move', 'recharge')): -48.82765820865588
(('lapras', 'nidoking'), ('move', 'bodyslam')): -29.0952274651104
(('lapras', 'arcanine'), ('switch', 'venusaur')): -30.82102624200951
(('venusaur', 'arcanine'), ('switch', 'pikachu')): -33.71025242319136
(('blastoise', 'alakazam'), ('move', 'recharge')): -36.61300492084205
(('snorlax', 'alakazam'), ('switch', 'charizard')): -39.54399828654081
(('venusaur', 'pidgeot'), ('switch', 'blastoise')): -35.80951851808033
(('blastoise', 'pidgeot'), ('switch', 'pikachu')): -24.50080384877265
(('pikachu', 'pidgeot'), ('move', 'quickattack')): -37.64233026879629
(('pikachu', 'pidgeot'), ('switch', 'snorlax')): -29.450639538544298
(('snorlax', 'alakazam'), ('move', 'gigaimpact')): -42.44122285890186
(('snorlax', 'golbat'), ('move', 'recharge')): -36.60579551236129
(('charizard', 'nidoking'), ('move', 'recharge')): -34.808079601615574
(('charizard', 'golbat'), ('switch', 'snorlax')): -31.527900687257805
(('snorlax', 'golbat'), ('switch', 'venusaur')): -35.573678576782726
(('snorlax', 'golbat'), ('switch', 'pikachu')): -37.16220147321485
(('pikachu', 'golbat'), ('switch', 'venusaur')): -27.869468595326268
(('charizard', 'arcanine'), ('switch', 'lapras')): -25.294221581730913
(('blastoise', 'arcanine'), ('move', 'blizzard')): -46.06218463579106
(('lapras', 'alakazam'), ('move', 'brine')): -40.19737739298159
(('snorlax', 'nidoqueen'), ('move', 'gigaimpact')): -41.372058828179625
(('snorlax', 'nidoqueen'), ('switch', 'blastoise')): -31.869409108469636
(('pikachu', 'pidgeot'), ('move', 'thunderbolt')): -35.541012124901506
(('venusaur', 'alakazam'), ('switch', 'pikachu')): -34.46632300104764
(('charizard', 'alakazam'), ('switch', 'blastoise')): -35.01811769436857
(('snorlax', 'pidgeot'), ('switch', 'pikachu')): -32.56101136410211
(('venusaur', 'sandslash'), ('switch', 'pikachu')): -30.538233682316125
(('venusaur', 'sandslash'), ('switch', 'snorlax')): -25.75721518011855
(('blastoise', 'sandslash'), ('switch', 'snorlax')): -29.604050796161914
(('snorlax', 'sandslash'), ('switch', 'charizard')): -36.164146211224
(('charizard', 'pidgeot'), ('move', 'recharge')): -22.823532327973304
(('blastoise', 'machamp'), ('switch', 'lapras')): -30.083364818929056
(('snorlax', 'poliwrath'), ('switch', 'charizard')): -38.81283534937889
(('pikachu', 'arbok'), ('switch', 'charizard')): -31.569397979028256
(('lapras', 'poliwrath'), ('switch', 'charizard')): -34.709413769510135
(('snorlax', 'pidgeot'), ('move', 'recharge')): -30.057397479968472
(('blastoise', 'nidoqueen'), ('move', 'recharge')): -35.972930729220764
(('charizard', 'machamp'), ('move', 'recharge')): -29.52417557591793
(('blastoise', 'golem'), ('move', 'blizzard')): -32.718528921806936
(('blastoise', 'poliwrath'), ('switch', 'lapras')): -32.19394399655983
(('blastoise', 'machamp'), ('switch', 'charizard')): -28.859194191304525
(('lapras', 'nidoking'), ('switch', 'charizard')): -29.59811767866542
(('pikachu', 'golbat'), ('switch', 'blastoise')): -31.077920064132616
(('charizard', 'sandslash'), ('switch', 'lapras')): -22.80275883261938
(('lapras', 'nidoking'), ('switch', 'pikachu')): -35.332166958005075
(('pikachu', 'nidoking'), ('move', 'irontail')): -36.6695184344114
(('venusaur', 'machamp'), ('switch', 'snorlax')): -30.601654561149786
(('snorlax', 'sandslash'), ('switch', 'venusaur')): -35.80839639719656
(('snorlax', 'sandslash'), ('switch', 'lapras')): -33.0941561562858
(('lapras', 'alakazam'), ('move', 'bodyslam')): -38.474346830124084
(('venusaur', 'ninetales'), ('switch', 'lapras')): -34.831609049949776
(('venusaur', 'poliwrath'), ('switch', 'pikachu')): -28.1940657333321
(('lapras', 'pidgeot'), ('switch', 'pikachu')): -31.15537390304701
(('blastoise', 'arbok'), ('move', 'blizzard')): -36.38767008083718
(('blastoise', 'arcanine'), ('move', 'flashcannon')): -44.59116144273959
(('snorlax', 'alakazam'), ('switch', 'lapras')): -34.45051076838466
(('venusaur', 'poliwrath'), ('move', 'sleeppowder')): -26.405070123952772
(('pikachu', 'alakazam'), ('switch', 'lapras')): -25.02132427143346
(('charizard', 'nidoking'), ('switch', 'venusaur')): -35.81500153696554
(('venusaur', 'nidoking'), ('move', 'sleeppowder')): -44.000069451233976
(('venusaur', 'nidoking'), ('switch', 'blastoise')): -32.42128608089345
(('blastoise', 'nidoqueen'), ('move', 'hydrocannon')): -28.1108269219543
(('blastoise', 'arbok'), ('move', 'flashcannon')): -37.88362938018774
(('blastoise', 'golem'), ('move', 'flashcannon')): -33.77951093939229
(('lapras', 'alakazam'), ('switch', 'snorlax')): -34.81771924862592
(('snorlax', 'alakazam'), ('switch', 'blastoise')): -35.98512171838908
(('blastoise', 'arbok'), ('switch', 'venusaur')): -36.7911000720178
(('venusaur', 'sandslash'), ('move', 'recharge')): -13.406166803395589
(('charizard', 'sandslash'), ('switch', 'venusaur')): -18.30242988984564
(('venusaur', 'nidoqueen'), ('switch', 'charizard')): -32.22562859103556
(('lapras', 'pidgeot'), ('move', 'bodyslam')): -35.691305739666106
(('snorlax', 'nidoqueen'), ('switch', 'pikachu')): -41.92680931566684
(('venusaur', 'arbok'), ('switch', 'pikachu')): -37.149090616194165
(('lapras', 'nidoqueen'), ('move', 'brine')): -30.523746450071002
(('venusaur', 'pidgeot'), ('move', 'gigadrain')): -39.19394930346462
(('lapras', 'golbat'), ('switch', 'pikachu')): -31.26267080352759
(('charizard', 'alakazam'), ('switch', 'venusaur')): -35.34735931720207
(('charizard', 'alakazam'), ('move', 'recharge')): -30.43940227128567
(('lapras', 'pidgeot'), ('switch', 'venusaur')): -29.076917573696825
(('venusaur', 'pidgeot'), ('switch', 'pikachu')): -32.6736299802959
(('pikachu', 'golbat'), ('move', 'quickattack')): -36.864659736300595
(('charizard', 'nidoking'), ('move', 'dragonpulse')): -32.808106937105514
(('lapras', 'pidgeot'), ('switch', 'blastoise')): -27.374201007171333
(('blastoise', 'pidgeot'), ('move', 'blizzard')): -23.562263825567886
(('venusaur', 'arbok'), ('switch', 'lapras')): -24.692728906650387
(('blastoise', 'nidoqueen'), ('move', 'blizzard')): -32.03355209957894
(('lapras', 'ninetales'), ('switch', 'pikachu')): -34.82314539042126
(('pikachu', 'nidoqueen'), ('move', 'irontail')): -40.25178002158158
(('charizard', 'ninetales'), ('switch', 'lapras')): -34.887998623385236
(('charizard', 'alakazam'), ('switch', 'lapras')): -30.67769102903617
(('lapras', 'alakazam'), ('switch', 'blastoise')): -33.598661830217075
(('blastoise', 'nidoqueen'), ('move', 'flashcannon')): -29.675010237875238
(('venusaur', 'poliwrath'), ('switch', 'snorlax')): -28.396440900579936
(('charizard', 'poliwrath'), ('switch', 'blastoise')): -31.56098566168258
(('blastoise', 'golem'), ('switch', 'snorlax')): -29.8523837445497
(('charizard', 'pidgeot'), ('switch', 'lapras')): -27.147806634465628
(('venusaur', 'golbat'), ('switch', 'charizard')): -37.25528430580584
(('lapras', 'golbat'), ('switch', 'venusaur')): -32.62248770602926
(('venusaur', 'golbat'), ('switch', 'snorlax')): -26.23249511779309
(('charizard', 'nidoqueen'), ('move', 'dragonpulse')): -34.759416923648
(('charizard', 'nidoqueen'), ('switch', 'venusaur')): -30.66648457367953
(('lapras', 'golbat'), ('switch', 'snorlax')): -32.27992099171124
(('blastoise', 'golbat'), ('switch', 'venusaur')): -32.42701452302882
(('venusaur', 'arbok'), ('switch', 'blastoise')): -36.63083315651048
(('blastoise', 'arbok'), ('switch', 'pikachu')): -34.705423242904345
(('blastoise', 'arbok'), ('switch', 'lapras')): -38.24121603778663
(('lapras', 'arbok'), ('switch', 'blastoise')): -36.34746924970683
(('blastoise', 'nidoking'), ('switch', 'charizard')): -34.03313938791439
(('lapras', 'sandslash'), ('switch', 'blastoise')): -29.992381140844557
(('blastoise', 'nidoking'), ('switch', 'pikachu')): -33.26486175710694
(('venusaur', 'machamp'), ('switch', 'pikachu')): -32.2257223337924
(('pikachu', 'nidoking'), ('move', 'quickattack')): -39.88568770213959
(('pikachu', 'nidoking'), ('switch', 'venusaur')): -26.312833133941304
(('venusaur', 'pidgeot'), ('move', 'sleeppowder')): -34.90630343593843
(('venusaur', 'pidgeot'), ('move', 'frenzyplant')): -31.261957977746174
(('blastoise', 'nidoqueen'), ('switch', 'pikachu')): -37.40465377453684
(('lapras', 'sandslash'), ('move', 'psychic')): -31.09289066797907
(('snorlax', 'nidoqueen'), ('switch', 'lapras')): -25.35158193597442
(('lapras', 'nidoqueen'), ('move', 'bodyslam')): -28.33492982747288
(('charizard', 'sandslash'), ('switch', 'blastoise')): -29.75508828953473
(('lapras', 'nidoqueen'), ('switch', 'blastoise')): -29.794321268393162
(('blastoise', 'pidgeot'), ('switch', 'charizard')): -28.83482534564676
(('charizard', 'pidgeot'), ('switch', 'venusaur')): -33.62728676133201
(('venusaur', 'alakazam'), ('switch', 'lapras')): -33.90756886946123
(('lapras', 'alakazam'), ('move', 'psychic')): -37.51610179496666
(('blastoise', 'nidoqueen'), ('switch', 'charizard')): -26.632343755137455
(('charizard', 'nidoqueen'), ('switch', 'snorlax')): -34.37879852684056
(('charizard', 'nidoqueen'), ('switch', 'pikachu')): -28.46084861588912
(('pikachu', 'nidoqueen'), ('switch', 'snorlax')): -30.973057019350524
(('venusaur', 'nidoking'), ('move', 'frenzyplant')): -41.401544380338805
(('venusaur', 'nidoking'), ('switch', 'charizard')): -32.740234639362626
(('charizard', 'nidoking'), ('switch', 'pikachu')): -29.760327639200927
(('charizard', 'golbat'), ('switch', 'lapras')): -31.091063038226363
(('blastoise', 'golbat'), ('switch', 'lapras')): -28.364977378478535
(('blastoise', 'pidgeot'), ('switch', 'snorlax')): -25.834744395596715
(('pikachu', 'arcanine'), ('switch', 'venusaur')): -43.13230742313913
(('charizard', 'nidoking'), ('switch', 'lapras')): -26.981407140251555
(('blastoise', 'machamp'), ('move', 'flashcannon')): -28.62402486565589
(('lapras', 'nidoqueen'), ('switch', 'charizard')): -32.00355910345847
(('charizard', 'nidoqueen'), ('switch', 'lapras')): -25.944649707230607
(('pikachu', 'nidoqueen'), ('move', 'quickattack')): -36.082681086843664
(('charizard', 'nidoqueen'), ('switch', 'blastoise')): -32.194400632103786
(('blastoise', 'poliwrath'), ('move', 'recharge')): -29.103622464335523
(('blastoise', 'poliwrath'), ('switch', 'pikachu')): -29.894231984752363
(('pikachu', 'poliwrath'), ('move', 'thunderbolt')): -27.53492167852201
(('pikachu', 'machamp'), ('switch', 'snorlax')): -27.12004726773078
(('pikachu', 'machamp'), ('move', 'quickattack')): -26.38136783700013
(('pikachu', 'golbat'), ('move', 'volttackle')): -34.23521429065007
(('lapras', 'golem'), ('switch', 'charizard')): -39.65511719794972
(('blastoise', 'golbat'), ('switch', 'pikachu')): -25.979878708118367
(('pikachu', 'sandslash'), ('switch', 'charizard')): -27.853980152331285
(('pikachu', 'nidoking'), ('move', 'thunderbolt')): -36.48789306856984
(('charizard', 'pidgeot'), ('switch', 'pikachu')): -32.99720111430351
(('pikachu', 'arbok'), ('switch', 'venusaur')): -31.55578104966735
(('charizard', 'golem'), ('switch', 'pikachu')): -28.503737701935123
(('snorlax', 'nidoqueen'), ('move', 'recharge')): -35.40886240553506
(('blastoise', 'nidoking'), ('switch', 'venusaur')): -31.51534922844629
(('venusaur', 'nidoking'), ('switch', 'lapras')): -31.073195889305058
(('pikachu', 'poliwrath'), ('switch', 'charizard')): -28.378190850624264
(('venusaur', 'poliwrath'), ('move', 'frenzyplant')): -24.331455176791607
(('charizard', 'pidgeot'), ('switch', 'blastoise')): -28.339883253552646
(('pikachu', 'ninetales'), ('switch', 'venusaur')): -32.77231819947595
(('pikachu', 'alakazam'), ('switch', 'venusaur')): -28.69704358640874
(('pikachu', 'nidoking'), ('switch', 'lapras')): -30.16407318267525
(('pikachu', 'golem'), ('move', 'quickattack')): -32.37672161541801
(('pikachu', 'arbok'), ('switch', 'blastoise')): -27.83068118090723
(('pikachu', 'golem'), ('move', 'thunderbolt')): -32.196227188674435
(('venusaur', 'nidoqueen'), ('move', 'recharge')): -39.8092268877029
(('pikachu', 'sandslash'), ('move', 'quickattack')): -26.068736531920347
(('venusaur', 'pidgeot'), ('switch', 'charizard')): -21.59766491687353
(('venusaur', 'golem'), ('move', 'gigadrain')): -33.58334164513792
(('pikachu', 'golem'), ('switch', 'snorlax')): -35.860900125020144
(('venusaur', 'pidgeot'), ('switch', 'snorlax')): -28.915003400230635
(('pikachu', 'golem'), ('switch', 'venusaur')): -33.68412567806896
(('blastoise', 'sandslash'), ('switch', 'venusaur')): -24.347821860863558
(('lapras', 'sandslash'), ('switch', 'venusaur')): -22.262990210233838
(('lapras', 'sandslash'), ('switch', 'pikachu')): -31.429691749645418
(('pikachu', 'sandslash'), ('move', 'thunderbolt')): -25.43725296950817
(('venusaur', 'alakazam'), ('switch', 'charizard')): -35.707758605723676
(('venusaur', 'golem'), ('switch', 'blastoise')): -32.40450119801585
(('charizard', 'golem'), ('switch', 'lapras')): -31.30802731461857
(('lapras', 'nidoqueen'), ('switch', 'snorlax')): -31.785467480033795
(('pikachu', 'golbat'), ('move', 'irontail')): -32.62343546302718
(('venusaur', 'poliwrath'), ('switch', 'blastoise')): -23.006579010461376
(('lapras', 'golem'), ('switch', 'pikachu')): -28.67223046703385
(('charizard', 'golbat'), ('move', 'recharge')): -34.10220268508937
(('blastoise', 'nidoqueen'), ('switch', 'lapras')): -32.26610785642805
(('blastoise', 'nidoqueen'), ('switch', 'snorlax')): -30.826515641319737
(('charizard', 'arcanine'), ('switch', 'venusaur')): -42.40102505758738
(('venusaur', 'pidgeot'), ('switch', 'lapras')): -21.319442859178796
(('blastoise', 'arcanine'), ('switch', 'snorlax')): -41.47061258157594
(('pikachu', 'golbat'), ('move', 'thunderbolt')): -31.773991048441612
(('pikachu', 'nidoqueen'), ('move', 'thunderbolt')): -32.64560006386856
(('blastoise', 'alakazam'), ('switch', 'pikachu')): -30.16842223353377
(('pikachu', 'alakazam'), ('move', 'thunderbolt')): -30.88186104635597
(('venusaur', 'sandslash'), ('switch', 'lapras')): -30.269190082037145
(('blastoise', 'pidgeot'), ('switch', 'venusaur')): -26.64128562026058
(('blastoise', 'sandslash'), ('switch', 'pikachu')): -28.844926770939676
(('venusaur', 'poliwrath'), ('switch', 'lapras')): -23.647499913176535
(('venusaur', 'poliwrath'), ('switch', 'charizard')): -24.401045474000526
(('lapras', 'nidoking'), ('switch', 'snorlax')): -36.59045052396649
(('pikachu', 'pidgeot'), ('switch', 'venusaur')): -35.33604606032116
(('blastoise', 'ninetales'), ('switch', 'lapras')): -24.860103325155574
(('venusaur', 'machamp'), ('move', 'recharge')): -29.761544550602935
(('pikachu', 'poliwrath'), ('switch', 'snorlax')): -23.58514063830636
(('charizard', 'poliwrath'), ('switch', 'pikachu')): -29.7446426407546
(('pikachu', 'poliwrath'), ('switch', 'venusaur')): -12.277635909027138
(('pikachu', 'nidoqueen'), ('switch', 'charizard')): -29.399287893258048
(('blastoise', 'sandslash'), ('move', 'hydrocannon')): -26.6193761090282
(('charizard', 'poliwrath'), ('switch', 'snorlax')): -32.635707688911126
(('pikachu', 'nidoqueen'), ('switch', 'lapras')): -25.96669843486081
(('blastoise', 'sandslash'), ('switch', 'charizard')): -25.186805164901923
(('pikachu', 'machamp'), ('switch', 'lapras')): -24.856486516000363
(('blastoise', 'sandslash'), ('switch', 'lapras')): -27.48898172319534
(('pikachu', 'alakazam'), ('switch', 'snorlax')): -27.562978385132148
(('charizard', 'sandslash'), ('switch', 'pikachu')): -28.438977287055597
(('pikachu', 'nidoqueen'), ('switch', 'blastoise')): -33.841791076715644
(('pikachu', 'poliwrath'), ('switch', 'lapras')): -24.811046632189047
(('pikachu', 'pidgeot'), ('switch', 'blastoise')): -22.398884638750083
(('pikachu', 'nidoking'), ('switch', 'snorlax')): -28.195983094182843
(('blastoise', 'alakazam'), ('switch', 'lapras')): -30.626720159289555
(('pikachu', 'sandslash'), ('switch', 'snorlax')): -29.984199887376764
(('pikachu', 'sandslash'), ('switch', 'blastoise')): -21.01682172544317
(('pikachu', 'machamp'), ('switch', 'blastoise')): -22.829294432673453
(('pikachu', 'machamp'), ('switch', 'charizard')): -21.655866717101333
(('pikachu', 'golbat'), ('switch', 'snorlax')): -32.93419371729196
(('pikachu', 'pidgeot'), ('switch', 'charizard')): -27.170405355865505
(('charizard', 'sandslash'), ('move', 'dragonpulse')): -27.778058667880966
(('blastoise', 'sandslash'), ('move', 'flashcannon')): -28.114268100752746
(('charizard', 'sandslash'), ('switch', 'snorlax')): -27.61761756826659
