(('pikachu', 'golbat'), ('move', 'quickattack')): -53.4075760083146
(('lapras', 'ninetales'), ('switch', 'charizard')): -33.09208082977249
(('charizard', 'arbok'), ('move', 'recharge')): -66.66096010257044
(('lapras', 'golbat'), ('move', 'bodyslam')): -80.81665544061356
(('lapras', 'golbat'), ('switch', 'charizard')): -70.2473388130429
(('pikachu', 'golbat'), ('switch', 'charizard')): -51.46370711128355
(('charizard', 'pidgeot'), ('move', 'recharge')): -46.209097715800624
(('charizard', 'pidgeot'), ('move', 'dragonpulse')): -45.66224275913679
(('charizard', 'pidgeot'), ('switch', 'blastoise')): -34.72319448988077
(('blastoise', 'pidgeot'), ('move', 'blizzard')): -43.65891335934668
(('charizard', 'arbok'), ('switch', 'venusaur')): -67.77363104364059
(('venusaur', 'arbok'), ('switch', 'charizard')): -72.50622899511353
(('venusaur', 'machamp'), ('switch', 'snorlax')): -59.97183337149742
(('snorlax', 'machamp'), ('move', 'crunch')): -59.411209710847636
(('snorlax', 'alakazam'), ('move', 'shadowball')): -54.44124871702663
(('snorlax', 'nidoqueen'), ('switch', 'charizard')): -34.8015299351948
(('charizard', 'nidoqueen'), ('move', 'airslash')): -28.311098870013605
(('charizard', 'nidoqueen'), ('switch', 'venusaur')): -30.165668508219525
(('snorlax', 'poliwrath'), ('move', 'recharge')): -32.34752568404711
(('blastoise', 'arcanine'), ('move', 'blizzard')): -69.38699254140789
(('blastoise', 'arcanine'), ('switch', 'venusaur')): -63.94215071199648
(('lapras', 'nidoqueen'), ('move', 'bodyslam')): -29.808125222022813
(('lapras', 'golem'), ('move', 'bodyslam')): -38.96358797727904
(('lapras', 'golem'), ('switch', 'blastoise')): -36.33195514690924
(('venusaur', 'alakazam'), ('move', 'sleeppowder')): -45.99417656295023
(('venusaur', 'alakazam'), ('switch', 'snorlax')): -45.57779698245482
(('snorlax', 'alakazam'), ('move', 'blizzard')): -53.669193207403865
(('blastoise', 'arcanine'), ('switch', 'charizard')): -59.28649372236855
(('charizard', 'arcanine'), ('move', 'dragonpulse')): -58.359517690681706
(('charizard', 'arcanine'), ('switch', 'pikachu')): -60.47100304697496
(('pikachu', 'arcanine'), ('move', 'quickattack')): -55.00317673319848
(('lapras', 'arbok'), ('switch', 'venusaur')): -72.6579505161372
(('lapras', 'arbok'), ('switch', 'charizard')): -67.20864811808615
(('venusaur', 'arbok'), ('switch', 'snorlax')): -76.87554700604258
(('pikachu', 'arcanine'), ('switch', 'lapras')): -48.953219348722335
(('lapras', 'arcanine'), ('move', 'brine')): -77.18887415042137
(('lapras', 'arcanine'), ('switch', 'charizard')): -58.992812084724335
(('charizard', 'sandslash'), ('switch', 'blastoise')): -34.499549620549665
(('blastoise', 'sandslash'), ('switch', 'pikachu')): -29.63643633024282
(('pikachu', 'sandslash'), ('move', 'quickattack')): -26.481083924054563
(('pikachu', 'sandslash'), ('switch', 'snorlax')): -23.756363135801585
(('venusaur', 'ninetales'), ('move', 'recharge')): -36.157033784972995
(('blastoise', 'ninetales'), ('move', 'flashcannon')): -41.793540535464
(('blastoise', 'ninetales'), ('switch', 'snorlax')): -31.53002152988752
(('charizard', 'ninetales'), ('switch', 'snorlax')): -32.622315662813676
(('snorlax', 'machamp'), ('move', 'blizzard')): -59.348169034438925
(('snorlax', 'machamp'), ('switch', 'charizard')): -44.19726376140272
(('venusaur', 'nidoqueen'), ('move', 'frenzyplant')): -42.67175150366239
(('venusaur', 'nidoqueen'), ('switch', 'pikachu')): -31.65622104665769
(('pikachu', 'nidoqueen'), ('move', 'irontail')): -29.338493029269692
(('pikachu', 'nidoqueen'), ('switch', 'charizard')): -20.54872212916253
(('charizard', 'nidoqueen'), ('move', 'blastburn')): -33.69533125279186
(('snorlax', 'pidgeot'), ('switch', 'venusaur')): -50.31718619370034
(('snorlax', 'pidgeot'), ('switch', 'charizard')): -48.45193760764647
(('lapras', 'pidgeot'), ('switch', 'charizard')): -42.69629834402549
(('charizard', 'ninetales'), ('move', 'recharge')): -37.74238563600952
(('charizard', 'machamp'), ('switch', 'blastoise')): -57.144210605922815
(('charizard', 'machamp'), ('switch', 'snorlax')): -58.91494122315392
(('charizard', 'arcanine'), ('switch', 'lapras')): -61.88070476489
(('charizard', 'nidoqueen'), ('move', 'dragonpulse')): -34.643772250458156
(('charizard', 'golbat'), ('switch', 'lapras')): -59.7271468714104
(('lapras', 'golbat'), ('switch', 'pikachu')): -61.45309546676668
(('blastoise', 'machamp'), ('move', 'flashcannon')): -61.25617722987069
(('blastoise', 'machamp'), ('switch', 'venusaur')): -51.913541774028594
(('venusaur', 'ninetales'), ('switch', 'pikachu')): -40.70833030593479
(('pikachu', 'ninetales'), ('move', 'thunderbolt')): -37.63710502254758
(('pikachu', 'ninetales'), ('switch', 'lapras')): -29.0801620968044
(('snorlax', 'golem'), ('move', 'recharge')): -61.650432420405835
(('venusaur', 'nidoking'), ('switch', 'charizard')): -48.77723990323954
(('snorlax', 'alakazam'), ('move', 'gigaimpact')): -50.11714493386919
(('lapras', 'arbok'), ('switch', 'blastoise')): -67.52861182696968
(('pikachu', 'arbok'), ('move', 'thunderbolt')): -53.23745191559814
(('charizard', 'alakazam'), ('switch', 'snorlax')): -44.72123028220387
(('snorlax', 'alakazam'), ('switch', 'lapras')): -48.29898037086826
(('pikachu', 'pidgeot'), ('switch', 'venusaur')): -46.336761520239
(('blastoise', 'pidgeot'), ('switch', 'snorlax')): -43.34173282483471
(('charizard', 'pidgeot'), ('switch', 'venusaur')): -42.827085860309445
(('charizard', 'pidgeot'), ('switch', 'lapras')): -40.42940281432611
(('pikachu', 'pidgeot'), ('switch', 'charizard')): -39.03239368853733
(('snorlax', 'alakazam'), ('switch', 'pikachu')): -53.473698627470974
(('snorlax', 'alakazam'), ('switch', 'blastoise')): -50.2610692742588
(('charizard', 'alakazam'), ('switch', 'lapras')): -51.87511050322235
(('venusaur', 'alakazam'), ('switch', 'charizard')): -44.78766164901913
(('lapras', 'alakazam'), ('move', 'bodyslam')): -57.51257517989718
(('lapras', 'alakazam'), ('switch', 'blastoise')): -52.41969458098864
(('charizard', 'alakazam'), ('switch', 'blastoise')): -49.33642051671464
(('charizard', 'arbok'), ('switch', 'lapras')): -63.346370268373825
(('venusaur', 'arbok'), ('switch', 'lapras')): -67.53608167350839
(('lapras', 'arcanine'), ('move', 'psychic')): -78.35978482517743
(('blastoise', 'poliwrath'), ('move', 'hydrocannon')): -57.02867822902263
(('venusaur', 'poliwrath'), ('switch', 'blastoise')): -29.4489833246475
(('lapras', 'pidgeot'), ('switch', 'venusaur')): -42.331426694908046
(('lapras', 'pidgeot'), ('switch', 'pikachu')): -44.78947085561025
(('snorlax', 'ninetales'), ('switch', 'venusaur')): -39.297705110248586
(('venusaur', 'ninetales'), ('switch', 'snorlax')): -36.12525247010491
(('venusaur', 'nidoking'), ('switch', 'pikachu')): -42.60921748005443
(('snorlax', 'nidoking'), ('switch', 'lapras')): -47.64220010979427
(('venusaur', 'arcanine'), ('switch', 'snorlax')): -53.66856735301287
(('blastoise', 'arcanine'), ('move', 'flashcannon')): -66.4770206238419
(('charizard', 'nidoqueen'), ('switch', 'blastoise')): -16.82361318622835
(('venusaur', 'nidoking'), ('switch', 'snorlax')): -44.993057829259165
(('blastoise', 'nidoking'), ('move', 'flashcannon')): -42.6119410519094
(('pikachu', 'nidoking'), ('switch', 'lapras')): -41.484497873433035
(('snorlax', 'machamp'), ('move', 'recharge')): -68.63001971599996
(('pikachu', 'pidgeot'), ('move', 'thunderbolt')): -47.464687479803366
(('blastoise', 'pidgeot'), ('switch', 'venusaur')): -44.85551237522023
(('snorlax', 'pidgeot'), ('switch', 'lapras')): -52.575776852212215
(('pikachu', 'pidgeot'), ('switch', 'blastoise')): -37.278319126049645
(('lapras', 'pidgeot'), ('switch', 'snorlax')): -38.76623468650506
(('venusaur', 'golbat'), ('move', 'sleeppowder')): -68.50609370063684
(('venusaur', 'golbat'), ('switch', 'pikachu')): -62.3563385932616
(('pikachu', 'golbat'), ('switch', 'snorlax')): -55.262864872017715
(('snorlax', 'ninetales'), ('switch', 'lapras')): -40.33097193519323
(('blastoise', 'golbat'), ('move', 'recharge')): -54.743205295295766
(('snorlax', 'golbat'), ('switch', 'venusaur')): -71.29316310253148
(('pikachu', 'machamp'), ('move', 'thunderbolt')): -44.53516858992497
(('pikachu', 'alakazam'), ('move', 'irontail')): -39.72576317556479
(('pikachu', 'alakazam'), ('switch', 'snorlax')): -34.28263675454055
(('snorlax', 'golbat'), ('switch', 'charizard')): -56.25644533880164
(('charizard', 'golbat'), ('switch', 'blastoise')): -55.28350718931799
(('venusaur', 'ninetales'), ('switch', 'blastoise')): -39.05801395713862
(('pikachu', 'golem'), ('switch', 'venusaur')): -34.3510748886706
(('venusaur', 'pidgeot'), ('move', 'gigadrain')): -38.994321276232434
(('pikachu', 'golem'), ('move', 'quickattack')): -28.68815237774399
(('charizard', 'nidoking'), ('move', 'recharge')): -56.42330694511477
(('venusaur', 'nidoking'), ('switch', 'blastoise')): -44.998360805120285
(('charizard', 'nidoqueen'), ('switch', 'snorlax')): -29.414028791972836
(('charizard', 'golbat'), ('switch', 'snorlax')): -59.507510763897315
(('blastoise', 'poliwrath'), ('move', 'recharge')): -25.47318648787906
(('snorlax', 'poliwrath'), ('switch', 'blastoise')): -55.23880490899382
(('blastoise', 'poliwrath'), ('move', 'flashcannon')): -57.85782530977895
(('lapras', 'ninetales'), ('move', 'bodyslam')): -41.725434181032966
(('blastoise', 'ninetales'), ('move', 'recharge')): -41.840722267626845
(('snorlax', 'nidoqueen'), ('switch', 'pikachu')): -37.6631527327839
(('pikachu', 'golbat'), ('switch', 'lapras')): -49.14493685260032
(('pikachu', 'arbok'), ('switch', 'venusaur')): -59.70486969181374
(('pikachu', 'golem'), ('move', 'irontail')): -32.17000900433564
(('pikachu', 'golem'), ('switch', 'charizard')): -34.57509335051034
(('charizard', 'nidoqueen'), ('switch', 'lapras')): -24.240579236249395
(('lapras', 'nidoqueen'), ('switch', 'charizard')): -28.01949551069517
(('blastoise', 'arcanine'), ('switch', 'pikachu')): -65.11735412532495
(('lapras', 'nidoking'), ('switch', 'pikachu')): -42.753116262744626
(('blastoise', 'sandslash'), ('switch', 'charizard')): -21.490665388292665
(('snorlax', 'arcanine'), ('switch', 'lapras')): -60.432506581480474
(('venusaur', 'machamp'), ('switch', 'pikachu')): -54.11719564155612
(('pikachu', 'machamp'), ('switch', 'venusaur')): -43.91156021136033
(('charizard', 'poliwrath'), ('move', 'recharge')): -59.90718568379802
(('charizard', 'poliwrath'), ('switch', 'pikachu')): -49.92273724359654
(('pikachu', 'poliwrath'), ('move', 'quickattack')): -39.88609865677167
(('pikachu', 'poliwrath'), ('switch', 'snorlax')): -43.97476620780853
(('snorlax', 'ninetales'), ('switch', 'blastoise')): -35.01138020659938
(('charizard', 'arcanine'), ('move', 'recharge')): -87.1877785455075
(('snorlax', 'arcanine'), ('switch', 'pikachu')): -63.90454268924641
(('lapras', 'golem'), ('switch', 'venusaur')): -40.97420857408557
(('pikachu', 'nidoking'), ('switch', 'venusaur')): -41.60849595443368
(('lapras', 'arcanine'), ('move', 'bodyslam')): -76.4067534339388
(('lapras', 'arcanine'), ('switch', 'snorlax')): -60.43406302930593
(('snorlax', 'arcanine'), ('switch', 'charizard')): -62.919280155058686
(('blastoise', 'golbat'), ('move', 'flashcannon')): -76.17257358700667
(('blastoise', 'sandslash'), ('switch', 'venusaur')): -26.648109838896666
(('venusaur', 'machamp'), ('switch', 'blastoise')): -48.37213183875944
(('snorlax', 'nidoking'), ('move', 'recharge')): -37.31391459870198
(('venusaur', 'alakazam'), ('move', 'frenzyplant')): -46.67889827203451
(('venusaur', 'alakazam'), ('move', 'recharge')): -38.88520818004247
(('venusaur', 'machamp'), ('switch', 'lapras')): -54.53565249961155
(('pikachu', 'machamp'), ('switch', 'blastoise')): -37.6871340221101
(('pikachu', 'golbat'), ('switch', 'venusaur')): -54.32071094362699
(('venusaur', 'arcanine'), ('move', 'recharge')): -85.3702836169279
(('charizard', 'arbok'), ('switch', 'pikachu')): -51.464984916211016
(('venusaur', 'pidgeot'), ('switch', 'blastoise')): -40.63136424477461
(('charizard', 'ninetales'), ('switch', 'blastoise')): -38.06069035940315
(('pikachu', 'arcanine'), ('move', 'thunderbolt')): -52.14236026537185
(('blastoise', 'golbat'), ('switch', 'venusaur')): -58.06509051771662
(('snorlax', 'golem'), ('move', 'blizzard')): -36.532105245171394
(('venusaur', 'nidoqueen'), ('switch', 'lapras')): -18.23491506442683
(('venusaur', 'alakazam'), ('switch', 'lapras')): -46.688200783055585
(('blastoise', 'alakazam'), ('switch', 'pikachu')): -48.306629104867504
(('pikachu', 'alakazam'), ('move', 'quickattack')): -34.6761749917671
(('venusaur', 'pidgeot'), ('move', 'sleeppowder')): -48.99767384018969
(('pikachu', 'pidgeot'), ('switch', 'snorlax')): -37.2501348723344
(('charizard', 'arcanine'), ('switch', 'blastoise')): -56.68950811234912
(('charizard', 'golem'), ('move', 'flareblitz')): -44.27013197120313
(('charizard', 'golem'), ('switch', 'venusaur')): -42.66030634482152
(('venusaur', 'arcanine'), ('switch', 'pikachu')): -57.80599736333484
(('blastoise', 'pidgeot'), ('switch', 'pikachu')): -48.25739314278776
(('pikachu', 'alakazam'), ('move', 'thunderbolt')): -42.31911114599706
(('venusaur', 'golem'), ('move', 'gigadrain')): -46.03739868736513
(('venusaur', 'golem'), ('switch', 'charizard')): -43.99750824350831
(('snorlax', 'golem'), ('move', 'gigaimpact')): -39.002437239349355
(('blastoise', 'golbat'), ('switch', 'pikachu')): -59.46918844492346
(('venusaur', 'golbat'), ('move', 'frenzyplant')): -66.21892066558561
(('venusaur', 'golbat'), ('switch', 'charizard')): -57.02224773443168
(('charizard', 'nidoking'), ('switch', 'pikachu')): -35.45382466942584
(('blastoise', 'pidgeot'), ('switch', 'charizard')): -43.00480787373251
(('venusaur', 'pidgeot'), ('switch', 'pikachu')): -32.268888670452064
(('blastoise', 'poliwrath'), ('switch', 'pikachu')): -52.36007434140274
(('blastoise', 'poliwrath'), ('switch', 'charizard')): -61.41353684070386
(('charizard', 'poliwrath'), ('switch', 'snorlax')): -50.60796303166343
(('charizard', 'nidoqueen'), ('switch', 'pikachu')): -30.478014528859585
(('venusaur', 'golbat'), ('switch', 'snorlax')): -60.034211565108244
(('snorlax', 'golem'), ('switch', 'lapras')): -34.58787686037921
(('lapras', 'machamp'), ('move', 'brine')): -52.40495347849296
(('lapras', 'arcanine'), ('switch', 'blastoise')): -51.68502014867556
(('snorlax', 'poliwrath'), ('switch', 'pikachu')): -59.05553294557639
(('venusaur', 'sandslash'), ('switch', 'blastoise')): -33.375357546898364
(('blastoise', 'machamp'), ('switch', 'snorlax')): -50.68535935525387
(('lapras', 'golem'), ('switch', 'snorlax')): -37.219845917869485
(('snorlax', 'machamp'), ('move', 'gigaimpact')): -61.04535689860611
(('pikachu', 'arbok'), ('switch', 'charizard')): -46.846695118975376
(('charizard', 'golem'), ('move', 'recharge')): -67.1723869877291
(('snorlax', 'machamp'), ('switch', 'blastoise')): -55.481374190372385
(('pikachu', 'machamp'), ('switch', 'charizard')): -39.41553489760873
(('venusaur', 'golem'), ('switch', 'blastoise')): -42.20216819361199
(('blastoise', 'nidoqueen'), ('switch', 'charizard')): -27.545747192328683
(('venusaur', 'sandslash'), ('move', 'sleeppowder')): -32.66200243355108
(('venusaur', 'sandslash'), ('switch', 'charizard')): -25.60655047075253
(('snorlax', 'sandslash'), ('move', 'recharge')): -37.95114987792939
(('blastoise', 'machamp'), ('switch', 'pikachu')): -52.689496606715394
(('lapras', 'alakazam'), ('switch', 'charizard')): -39.949594138201505
(('venusaur', 'sandslash'), ('move', 'frenzyplant')): -33.57915965147572
(('lapras', 'nidoqueen'), ('switch', 'blastoise')): -30.312507899863622
(('lapras', 'nidoqueen'), ('switch', 'pikachu')): -33.19780584909486
(('lapras', 'nidoqueen'), ('switch', 'snorlax')): -25.58511082243782
(('pikachu', 'nidoking'), ('switch', 'blastoise')): -41.654285222204464
(('snorlax', 'nidoqueen'), ('move', 'recharge')): -27.935209425230735
(('snorlax', 'nidoqueen'), ('switch', 'blastoise')): -30.62549304416468
(('pikachu', 'alakazam'), ('switch', 'lapras')): -32.29431185164964
(('lapras', 'alakazam'), ('switch', 'pikachu')): -46.50173508233268
(('charizard', 'golem'), ('move', 'blastburn')): -45.40368518147081
(('charizard', 'golem'), ('switch', 'lapras')): -39.00161534211186
(('venusaur', 'golbat'), ('move', 'recharge')): -80.5150886596435
(('blastoise', 'golbat'), ('switch', 'lapras')): -65.97480306495453
(('pikachu', 'alakazam'), ('switch', 'charizard')): -32.589746968990134
(('lapras', 'nidoqueen'), ('switch', 'venusaur')): -29.7334295419916
(('pikachu', 'nidoqueen'), ('move', 'quickattack')): -30.279373676393273
(('blastoise', 'pidgeot'), ('move', 'recharge')): -37.47690903686551
(('snorlax', 'golbat'), ('move', 'recharge')): -74.39956806294411
(('lapras', 'golbat'), ('switch', 'blastoise')): -70.5273666526302
(('blastoise', 'ninetales'), ('switch', 'lapras')): -29.80035020844604
(('pikachu', 'arbok'), ('switch', 'snorlax')): -50.49648700717354
(('charizard', 'poliwrath'), ('switch', 'blastoise')): -45.75588849610784
(('snorlax', 'machamp'), ('switch', 'pikachu')): -52.41414570107659
(('lapras', 'machamp'), ('move', 'psychic')): -56.21315726610619
(('venusaur', 'alakazam'), ('switch', 'pikachu')): -47.2088409330143
(('pikachu', 'alakazam'), ('switch', 'venusaur')): -32.38685521395651
(('blastoise', 'nidoqueen'), ('switch', 'snorlax')): -26.353659700381108
(('snorlax', 'machamp'), ('switch', 'venusaur')): -46.74762696135506
(('venusaur', 'alakazam'), ('switch', 'blastoise')): -41.66485048812734
(('pikachu', 'ninetales'), ('switch', 'blastoise')): -25.488435832039986
(('blastoise', 'ninetales'), ('switch', 'pikachu')): -34.16626624391278
(('blastoise', 'alakazam'), ('switch', 'snorlax')): -49.0311142476832
(('snorlax', 'alakazam'), ('switch', 'venusaur')): -35.21882245282099
(('lapras', 'sandslash'), ('switch', 'pikachu')): -36.98928080150195
(('lapras', 'machamp'), ('move', 'bodyslam')): -54.11550621412418
(('snorlax', 'sandslash'), ('switch', 'pikachu')): -34.576182806072644
(('lapras', 'machamp'), ('switch', 'snorlax')): -54.65029022657019
(('snorlax', 'sandslash'), ('switch', 'venusaur')): -28.242485494774098
(('venusaur', 'nidoqueen'), ('switch', 'charizard')): -25.95305991587587
(('blastoise', 'golem'), ('switch', 'venusaur')): -28.3559707005967
(('charizard', 'golem'), ('switch', 'blastoise')): -45.08268659097011
(('blastoise', 'nidoking'), ('switch', 'snorlax')): -32.722985810731345
(('blastoise', 'poliwrath'), ('switch', 'lapras')): -51.98691151871001
(('venusaur', 'sandslash'), ('move', 'recharge')): -52.80401591905211
(('charizard', 'poliwrath'), ('move', 'dragonpulse')): -54.711382292194024
(('charizard', 'poliwrath'), ('switch', 'venusaur')): -13.716695635644106
(('venusaur', 'golem'), ('move', 'sleeppowder')): -46.680381646627616
(('venusaur', 'golem'), ('switch', 'pikachu')): -48.04378731634224
(('pikachu', 'machamp'), ('switch', 'lapras')): -41.262128326991885
(('lapras', 'machamp'), ('switch', 'pikachu')): -51.38825693949141
(('snorlax', 'golem'), ('switch', 'blastoise')): -36.31369949914735
(('blastoise', 'nidoking'), ('switch', 'lapras')): -37.30171119552862
(('blastoise', 'nidoqueen'), ('switch', 'venusaur')): -29.895610803027537
(('lapras', 'ninetales'), ('switch', 'snorlax')): -35.09787524760518
(('venusaur', 'golem'), ('move', 'frenzyplant')): -47.7767484390838
(('blastoise', 'nidoking'), ('switch', 'pikachu')): -33.43435209496701
(('pikachu', 'nidoqueen'), ('switch', 'venusaur')): -23.828813858056943
(('blastoise', 'golem'), ('move', 'flashcannon')): -25.51620148443077
(('blastoise', 'nidoqueen'), ('switch', 'pikachu')): -30.774581762841926
(('blastoise', 'golem'), ('switch', 'pikachu')): -25.367115386792168
(('charizard', 'golem'), ('move', 'dragonpulse')): -46.140465413014574
(('venusaur', 'golem'), ('move', 'recharge')): -62.62462850027094
(('blastoise', 'alakazam'), ('move', 'recharge')): -45.29750089994376
(('venusaur', 'golem'), ('switch', 'snorlax')): -45.27087354821617
(('snorlax', 'poliwrath'), ('switch', 'charizard')): -57.459492209842146
(('pikachu', 'poliwrath'), ('move', 'thunderbolt')): -39.710052505205304
(('venusaur', 'poliwrath'), ('switch', 'lapras')): -30.8130262797631
(('pikachu', 'golem'), ('move', 'thunderbolt')): -31.755915094531304
(('pikachu', 'golem'), ('switch', 'snorlax')): -29.876216503175254
(('lapras', 'ninetales'), ('switch', 'pikachu')): -35.03194190743877
(('pikachu', 'nidoqueen'), ('switch', 'blastoise')): -15.453774755511823
(('blastoise', 'arbok'), ('move', 'recharge')): -71.44053145637045
(('lapras', 'machamp'), ('switch', 'charizard')): -50.99812294693896
(('snorlax', 'sandslash'), ('move', 'blizzard')): -38.03196755125257
(('pikachu', 'sandslash'), ('move', 'thunderbolt')): -28.86737172951943
(('pikachu', 'poliwrath'), ('switch', 'venusaur')): -10.031501834005487
(('pikachu', 'nidoqueen'), ('move', 'thunderbolt')): -26.40335151306754
(('pikachu', 'golem'), ('switch', 'lapras')): -27.500333749678482
(('venusaur', 'sandslash'), ('switch', 'pikachu')): -34.012666014552835
(('pikachu', 'sandslash'), ('switch', 'venusaur')): -24.67736823087597
(('venusaur', 'sandslash'), ('switch', 'lapras')): -28.70532737218932
(('snorlax', 'sandslash'), ('move', 'gigaimpact')): -40.06031059624351
(('blastoise', 'sandslash'), ('switch', 'snorlax')): -24.499763765164413
(('pikachu', 'nidoqueen'), ('switch', 'lapras')): -19.36797225669725
(('blastoise', 'golem'), ('move', 'hydrocannon')): -30.2960326684875
(('blastoise', 'golem'), ('switch', 'snorlax')): -27.69033899452372
(('blastoise', 'golem'), ('move', 'blizzard')): -26.474749744130865
(('blastoise', 'golem'), ('switch', 'lapras')): -25.48522008221888
(('pikachu', 'sandslash'), ('switch', 'charizard')): -18.10252843287245
(('pikachu', 'poliwrath'), ('switch', 'blastoise')): -40.90843641096889
