(('blastoise', 'sandslash'), ('move', 'focusblast')): -56.86551931111434
(('venusaur', 'alakazam'), ('switch', 'blastoise')): -53.960679730937805
(('charizard', 'poliwrath'), ('move', 'recharge')): -60.673449623098335
(('lapras', 'poliwrath'), ('switch', 'blastoise')): -64.96354230058263
(('snorlax', 'poliwrath'), ('switch', 'pikachu')): -62.89933037162252
(('pikachu', 'poliwrath'), ('move', 'quickattack')): -64.43590927958041
(('snorlax', 'nidoqueen'), ('switch', 'charizard')): -42.087333084141775
(('charizard', 'nidoqueen'), ('move', 'airslash')): -53.474334329099854
(('snorlax', 'nidoqueen'), ('switch', 'blastoise')): -35.209766509567494
(('blastoise', 'golem'), ('move', 'recharge')): -73.67574876702523
(('blastoise', 'golem'), ('switch', 'venusaur')): -52.50128219195014
(('charizard', 'golbat'), ('move', 'recharge')): -95.91847742282944
(('lapras', 'arcanine'), ('switch', 'venusaur')): -85.10088488662119
(('pikachu', 'arcanine'), ('move', 'quickattack')): -70.39760976940164
(('charizard', 'poliwrath'), ('move', 'dragonpulse')): -63.13531684540978
(('venusaur', 'poliwrath'), ('move', 'gigadrain')): -26.155557827289577
(('charizard', 'arcanine'), ('switch', 'lapras')): -71.86483003253817
(('blastoise', 'arcanine'), ('switch', 'charizard')): -75.26475226821515
(('charizard', 'arcanine'), ('switch', 'pikachu')): -80.50725570011791
(('venusaur', 'arcanine'), ('move', 'frenzyplant')): -85.49948859977552
(('blastoise', 'arbok'), ('switch', 'pikachu')): -87.39553116076564
(('charizard', 'golbat'), ('switch', 'venusaur')): -76.37203243676775
(('blastoise', 'golbat'), ('switch', 'snorlax')): -83.31547870494781
(('lapras', 'golbat'), ('switch', 'venusaur')): -90.30816640953398
(('venusaur', 'golbat'), ('switch', 'snorlax')): -71.67827218003563
(('lapras', 'arbok'), ('move', 'bodyslam')): -96.1781398890328
(('lapras', 'arbok'), ('switch', 'pikachu')): -80.53468364240825
(('pikachu', 'arbok'), ('move', 'irontail')): -68.84065461572176
(('blastoise', 'pidgeot'), ('move', 'recharge')): -55.242188198026334
(('blastoise', 'poliwrath'), ('switch', 'venusaur')): -19.617513151068064
(('venusaur', 'sandslash'), ('move', 'frenzyplant')): -54.02556202187184
(('venusaur', 'machamp'), ('switch', 'blastoise')): -61.686947581436954
(('pikachu', 'machamp'), ('move', 'quickattack')): -59.591166273245655
(('pikachu', 'machamp'), ('switch', 'lapras')): -53.86128597924823
(('blastoise', 'machamp'), ('move', 'flashcannon')): -69.32737075814987
(('blastoise', 'arbok'), ('switch', 'lapras')): -88.73285909095497
(('lapras', 'arbok'), ('switch', 'venusaur')): -79.93442445970359
(('snorlax', 'golbat'), ('switch', 'charizard')): -84.76250085527619
(('lapras', 'machamp'), ('switch', 'pikachu')): -68.84480682166655
(('pikachu', 'machamp'), ('move', 'thunderbolt')): -64.82198582548985
(('venusaur', 'pidgeot'), ('switch', 'snorlax')): -42.58415699828665
(('venusaur', 'golem'), ('switch', 'blastoise')): -59.065983351020186
(('snorlax', 'golbat'), ('switch', 'pikachu')): -81.03915290245587
(('charizard', 'sandslash'), ('switch', 'lapras')): -47.93627281811907
(('snorlax', 'nidoqueen'), ('switch', 'pikachu')): -43.81279422067656
(('charizard', 'nidoqueen'), ('move', 'dragonpulse')): -53.661263028426085
(('venusaur', 'golbat'), ('move', 'sleeppowder')): -83.60972618358991
(('venusaur', 'pidgeot'), ('move', 'recharge')): -62.12929251075273
(('charizard', 'alakazam'), ('move', 'recharge')): -58.555060083063225
(('snorlax', 'alakazam'), ('switch', 'lapras')): -71.41785250816554
(('venusaur', 'alakazam'), ('switch', 'lapras')): -53.52597309421607
(('venusaur', 'alakazam'), ('switch', 'snorlax')): -50.024061881619616
(('blastoise', 'alakazam'), ('move', 'blizzard')): -75.4890450595896
(('blastoise', 'alakazam'), ('switch', 'snorlax')): -62.98337704284685
(('blastoise', 'alakazam'), ('move', 'flashcannon')): -60.738894664334495
(('snorlax', 'alakazam'), ('switch', 'venusaur')): -47.8432696110008
(('lapras', 'alakazam'), ('move', 'bodyslam')): -70.00935426864932
(('charizard', 'machamp'), ('switch', 'pikachu')): -62.39620206124285
(('charizard', 'arcanine'), ('switch', 'blastoise')): -76.55763692878571
(('venusaur', 'nidoking'), ('switch', 'blastoise')): -54.474965310250354
(('snorlax', 'nidoking'), ('switch', 'lapras')): -64.28302744098997
(('lapras', 'nidoking'), ('move', 'psychic')): -67.7809672161323
(('venusaur', 'poliwrath'), ('move', 'sleeppowder')): -24.238334166389148
(('charizard', 'pidgeot'), ('switch', 'venusaur')): -54.75724171179523
(('venusaur', 'ninetales'), ('switch', 'blastoise')): -44.929009729304006
(('pikachu', 'arcanine'), ('move', 'thunderbolt')): -79.13179487639917
(('venusaur', 'golbat'), ('move', 'frenzyplant')): -85.81866227330065
(('charizard', 'pidgeot'), ('switch', 'snorlax')): -44.20738315161047
(('snorlax', 'pidgeot'), ('move', 'blizzard')): -63.567830210894016
(('snorlax', 'nidoking'), ('switch', 'pikachu')): -65.2278369490319
(('pikachu', 'nidoking'), ('move', 'quickattack')): -69.85984754121205
(('snorlax', 'nidoking'), ('switch', 'charizard')): -62.440533292681955
(('snorlax', 'nidoking'), ('switch', 'blastoise')): -57.26094256308663
(('pikachu', 'ninetales'), ('move', 'irontail')): -64.15880349649467
(('charizard', 'machamp'), ('switch', 'venusaur')): -62.17466559607459
(('venusaur', 'machamp'), ('move', 'sleeppowder')): -68.32834671946914
(('venusaur', 'machamp'), ('switch', 'lapras')): -65.5464781061118
(('blastoise', 'machamp'), ('switch', 'lapras')): -64.40168775278539
(('lapras', 'machamp'), ('move', 'psychic')): -73.26608325905661
(('blastoise', 'pidgeot'), ('move', 'blizzard')): -60.065106312911084
(('blastoise', 'sandslash'), ('switch', 'snorlax')): -54.261564739557606
(('snorlax', 'sandslash'), ('move', 'blizzard')): -63.839104600648675
(('venusaur', 'golbat'), ('switch', 'pikachu')): -74.92099091028045
(('pikachu', 'golbat'), ('switch', 'venusaur')): -79.01792808558278
(('snorlax', 'ninetales'), ('switch', 'lapras')): -54.83422944633944
(('charizard', 'alakazam'), ('switch', 'pikachu')): -57.420270782005055
(('pikachu', 'alakazam'), ('switch', 'charizard')): -51.95152407245835
(('charizard', 'alakazam'), ('switch', 'venusaur')): -41.447990638674504
(('venusaur', 'alakazam'), ('switch', 'charizard')): -54.32603967571208
(('lapras', 'pidgeot'), ('switch', 'venusaur')): -62.737826177646774
(('blastoise', 'pidgeot'), ('switch', 'charizard')): -56.93501684917092
(('pikachu', 'arbok'), ('move', 'quickattack')): -64.0282472423992
(('snorlax', 'pidgeot'), ('switch', 'lapras')): -55.28899012258706
(('charizard', 'pidgeot'), ('switch', 'blastoise')): -47.11933874609606
(('charizard', 'pidgeot'), ('switch', 'pikachu')): -51.4440567244699
(('pikachu', 'pidgeot'), ('move', 'thunderbolt')): -58.25151824158513
(('lapras', 'poliwrath'), ('switch', 'pikachu')): -73.76336978423137
(('lapras', 'poliwrath'), ('move', 'bodyslam')): -71.20677709157304
(('lapras', 'poliwrath'), ('switch', 'venusaur')): -23.659328931203696
(('venusaur', 'poliwrath'), ('switch', 'charizard')): -52.38955244477091
(('charizard', 'poliwrath'), ('switch', 'venusaur')): -16.272432085168735
(('venusaur', 'nidoqueen'), ('move', 'frenzyplant')): -53.20079482240827
(('venusaur', 'nidoqueen'), ('move', 'recharge')): -46.454736924041185
(('snorlax', 'pidgeot'), ('move', 'gigaimpact')): -65.9888023723038
(('snorlax', 'golem'), ('switch', 'pikachu')): -65.10754909933105
(('venusaur', 'ninetales'), ('switch', 'lapras')): -48.425280938954266
(('lapras', 'ninetales'), ('switch', 'venusaur')): -37.272138311624836
(('blastoise', 'nidoking'), ('move', 'hydrocannon')): -59.36722905033691
(('blastoise', 'nidoking'), ('switch', 'venusaur')): -49.03591458130296
(('blastoise', 'ninetales'), ('move', 'flashcannon')): -56.655934954375766
(('pikachu', 'machamp'), ('switch', 'venusaur')): -58.74694394559359
(('venusaur', 'machamp'), ('switch', 'pikachu')): -67.7091853904868
(('pikachu', 'golem'), ('move', 'irontail')): -65.4587645193042
(('snorlax', 'alakazam'), ('switch', 'charizard')): -63.89408651836134
(('lapras', 'alakazam'), ('move', 'brine')): -70.67436587663138
(('blastoise', 'alakazam'), ('switch', 'pikachu')): -63.04574519042775
(('pikachu', 'alakazam'), ('switch', 'blastoise')): -58.7096709960071
(('venusaur', 'pidgeot'), ('move', 'frenzyplant')): -67.10389312480062
(('venusaur', 'pidgeot'), ('switch', 'lapras')): -53.166886352269
(('lapras', 'arbok'), ('switch', 'blastoise')): -82.90113915297178
(('pikachu', 'arbok'), ('switch', 'snorlax')): -65.19754831410238
(('lapras', 'pidgeot'), ('switch', 'snorlax')): -47.04628725678821
(('snorlax', 'pidgeot'), ('switch', 'venusaur')): -61.73087248693732
(('blastoise', 'poliwrath'), ('switch', 'charizard')): -72.19437113042456
(('snorlax', 'poliwrath'), ('move', 'gigaimpact')): -72.87616721859806
(('pikachu', 'machamp'), ('switch', 'blastoise')): -60.26446116986496
(('snorlax', 'machamp'), ('move', 'gigaimpact')): -73.19981524548652
(('snorlax', 'machamp'), ('switch', 'charizard')): -65.10585141293289
(('charizard', 'poliwrath'), ('move', 'blastburn')): -68.0531371818613
(('charizard', 'poliwrath'), ('switch', 'lapras')): -70.89464517242143
(('pikachu', 'arbok'), ('switch', 'lapras')): -67.58275474061574
(('pikachu', 'arbok'), ('move', 'thunderbolt')): -70.96561106123787
(('pikachu', 'arbok'), ('switch', 'charizard')): -60.40528536481235
(('blastoise', 'alakazam'), ('switch', 'charizard')): -56.13717925724261
(('venusaur', 'nidoqueen'), ('switch', 'pikachu')): -50.194603746161214
(('pikachu', 'nidoqueen'), ('move', 'irontail')): -53.01963976340997
(('pikachu', 'nidoqueen'), ('switch', 'venusaur')): -44.720221530576474
(('pikachu', 'poliwrath'), ('move', 'thunderbolt')): -62.305725367605795
(('pikachu', 'poliwrath'), ('switch', 'snorlax')): -52.52440965370219
(('snorlax', 'golem'), ('move', 'shadowball')): -68.07486643830451
(('snorlax', 'golem'), ('switch', 'blastoise')): -62.25405423128741
(('snorlax', 'sandslash'), ('move', 'gigaimpact')): -63.54322165136837
(('snorlax', 'sandslash'), ('switch', 'pikachu')): -52.884269278464096
(('pikachu', 'sandslash'), ('move', 'quickattack')): -49.47798300912337
(('charizard', 'golem'), ('move', 'blastburn')): -68.0809079572819
(('lapras', 'golbat'), ('switch', 'blastoise')): -92.81614555068934
(('blastoise', 'golbat'), ('switch', 'pikachu')): -89.04492957991047
(('lapras', 'pidgeot'), ('switch', 'blastoise')): -64.09384062091345
(('snorlax', 'pidgeot'), ('switch', 'blastoise')): -55.227113975929754
(('blastoise', 'pidgeot'), ('move', 'flashcannon')): -58.642591855826794
(('lapras', 'nidoqueen'), ('switch', 'pikachu')): -46.2749153096875
(('pikachu', 'nidoking'), ('switch', 'blastoise')): -62.11291598552682
(('blastoise', 'nidoqueen'), ('switch', 'venusaur')): -41.01894466635868
(('venusaur', 'nidoqueen'), ('switch', 'charizard')): -43.43831697627045
(('charizard', 'nidoqueen'), ('move', 'blastburn')): -52.71212016207034
(('snorlax', 'sandslash'), ('switch', 'lapras')): -49.35030991561509
(('lapras', 'alakazam'), ('move', 'psychic')): -70.14997502462998
(('pikachu', 'ninetales'), ('switch', 'venusaur')): -34.63846104454375
(('venusaur', 'ninetales'), ('switch', 'pikachu')): -50.162370286676754
(('blastoise', 'nidoking'), ('move', 'blizzard')): -68.24841917637038
(('pikachu', 'nidoking'), ('move', 'thunderbolt')): -69.39550597780558
(('lapras', 'nidoqueen'), ('switch', 'venusaur')): -42.524957620528575
(('lapras', 'pidgeot'), ('switch', 'pikachu')): -52.57490475571833
(('venusaur', 'machamp'), ('switch', 'snorlax')): -63.512160547546486
(('lapras', 'machamp'), ('move', 'bodyslam')): -66.29094057516087
(('lapras', 'alakazam'), ('switch', 'pikachu')): -72.58725321370301
(('snorlax', 'pidgeot'), ('switch', 'pikachu')): -59.53210090106526
(('pikachu', 'pidgeot'), ('switch', 'snorlax')): -49.98458213023613
(('pikachu', 'sandslash'), ('move', 'thunderbolt')): -60.22901783410398
(('charizard', 'alakazam'), ('switch', 'lapras')): -60.77691589046118
(('pikachu', 'alakazam'), ('switch', 'lapras')): -56.21395224464534
(('pikachu', 'pidgeot'), ('switch', 'blastoise')): -52.522542655096714
(('blastoise', 'pidgeot'), ('switch', 'pikachu')): -55.95405925316976
(('lapras', 'machamp'), ('switch', 'venusaur')): -52.36039601627246
(('lapras', 'machamp'), ('switch', 'snorlax')): -66.58732257725325
(('lapras', 'nidoking'), ('move', 'bodyslam')): -69.24176805353996
(('snorlax', 'sandslash'), ('switch', 'blastoise')): -47.226018216316675
(('blastoise', 'sandslash'), ('switch', 'venusaur')): -39.01028466419367
(('lapras', 'sandslash'), ('switch', 'venusaur')): -56.268333545977484
(('venusaur', 'sandslash'), ('switch', 'lapras')): -44.85355755743457
(('lapras', 'sandslash'), ('switch', 'snorlax')): -54.18277437958689
(('venusaur', 'pidgeot'), ('switch', 'charizard')): -51.489953147421396
(('charizard', 'alakazam'), ('switch', 'blastoise')): -58.66946640403106
(('venusaur', 'golbat'), ('switch', 'lapras')): -76.09479754689079
(('pikachu', 'golbat'), ('move', 'quickattack')): -69.8819529468262
(('venusaur', 'nidoqueen'), ('switch', 'lapras')): -26.871893937767158
(('blastoise', 'arcanine'), ('switch', 'venusaur')): -79.96923148488554
(('blastoise', 'arcanine'), ('switch', 'pikachu')): -78.422891428113
(('blastoise', 'machamp'), ('switch', 'snorlax')): -68.52543250140874
(('snorlax', 'machamp'), ('switch', 'lapras')): -67.00319958665047
(('pikachu', 'pidgeot'), ('switch', 'lapras')): -44.20747550905379
(('lapras', 'nidoqueen'), ('move', 'psychic')): -41.68724989694311
(('charizard', 'nidoqueen'), ('switch', 'venusaur')): -45.471073995846126
(('blastoise', 'pidgeot'), ('switch', 'snorlax')): -45.876487893911715
(('lapras', 'nidoking'), ('switch', 'snorlax')): -59.12673321939229
(('charizard', 'nidoking'), ('move', 'blastburn')): -60.90425934267918
(('blastoise', 'sandslash'), ('move', 'flashcannon')): -55.04857768351806
(('blastoise', 'pidgeot'), ('switch', 'venusaur')): -62.19271871000565
(('pikachu', 'poliwrath'), ('switch', 'charizard')): -57.08721949815036
(('snorlax', 'poliwrath'), ('switch', 'charizard')): -73.88707294114212
(('snorlax', 'poliwrath'), ('switch', 'lapras')): -54.685336028535744
(('snorlax', 'machamp'), ('move', 'recharge')): -77.91671169723782
(('blastoise', 'nidoqueen'), ('move', 'blizzard')): -43.64701202136744
(('lapras', 'alakazam'), ('switch', 'charizard')): -59.199113286612
(('blastoise', 'nidoqueen'), ('switch', 'lapras')): -43.35294313457831
(('snorlax', 'nidoqueen'), ('move', 'recharge')): -34.57496847514515
(('lapras', 'nidoqueen'), ('switch', 'snorlax')): -41.13512290357305
(('lapras', 'nidoqueen'), ('switch', 'blastoise')): -35.05437186660848
(('venusaur', 'poliwrath'), ('move', 'recharge')): -32.48615608514006
(('venusaur', 'poliwrath'), ('switch', 'snorlax')): -37.56159796020456
(('lapras', 'poliwrath'), ('switch', 'snorlax')): -68.36958037329079
(('venusaur', 'arcanine'), ('switch', 'blastoise')): -54.02380713677121
(('blastoise', 'alakazam'), ('move', 'recharge')): -65.71889536673277
(('blastoise', 'nidoqueen'), ('move', 'flashcannon')): -40.00586380260859
(('lapras', 'nidoqueen'), ('switch', 'charizard')): -43.46974848350563
(('blastoise', 'golbat'), ('switch', 'lapras')): -81.93019919333804
(('snorlax', 'machamp'), ('switch', 'blastoise')): -60.74817057448257
(('pikachu', 'pidgeot'), ('switch', 'charizard')): -55.19311114228978
(('charizard', 'nidoking'), ('move', 'dragonpulse')): -67.65038497345157
(('charizard', 'nidoking'), ('switch', 'pikachu')): -52.31079950820062
(('lapras', 'alakazam'), ('switch', 'snorlax')): -60.271985042572965
(('pikachu', 'alakazam'), ('switch', 'venusaur')): -38.25998203089605
(('blastoise', 'alakazam'), ('switch', 'venusaur')): -38.49798553529793
(('pikachu', 'golbat'), ('move', 'thunderbolt')): -80.6416675105539
(('pikachu', 'golbat'), ('switch', 'snorlax')): -74.94925762389295
(('pikachu', 'ninetales'), ('move', 'quickattack')): -49.37037515771989
(('pikachu', 'ninetales'), ('switch', 'lapras')): -46.35420756444722
(('pikachu', 'arbok'), ('switch', 'venusaur')): -67.18669554766441
(('blastoise', 'golem'), ('move', 'focusblast')): -54.76749294313268
(('blastoise', 'golem'), ('switch', 'charizard')): -53.361313762760126
(('lapras', 'alakazam'), ('switch', 'blastoise')): -68.88159021324238
(('pikachu', 'nidoking'), ('switch', 'lapras')): -56.30819792821388
(('charizard', 'nidoqueen'), ('switch', 'lapras')): -27.82841849539397
(('lapras', 'golem'), ('switch', 'pikachu')): -65.88179041637007
(('pikachu', 'golem'), ('switch', 'charizard')): -52.40073393639409
(('charizard', 'golem'), ('move', 'airslash')): -77.76733684286073
(('charizard', 'golem'), ('switch', 'pikachu')): -67.64510421765827
(('pikachu', 'poliwrath'), ('switch', 'venusaur')): -21.93877148732134
(('pikachu', 'sandslash'), ('switch', 'venusaur')): -33.54170894776994
(('lapras', 'golem'), ('move', 'brine')): -64.78598274653692
(('pikachu', 'golem'), ('move', 'quickattack')): -60.723825026734794
(('venusaur', 'sandslash'), ('move', 'sleeppowder')): -42.04914876499507
(('venusaur', 'sandslash'), ('switch', 'pikachu')): -50.33187995076835
(('pikachu', 'sandslash'), ('switch', 'snorlax')): -47.63224461803162
(('venusaur', 'golem'), ('move', 'sludgebomb')): -72.32560655232653
(('venusaur', 'golem'), ('switch', 'snorlax')): -69.98681411185385
(('venusaur', 'poliwrath'), ('switch', 'blastoise')): -43.489488096620896
(('snorlax', 'arbok'), ('move', 'recharge')): -88.34814956811438
(('lapras', 'nidoking'), ('switch', 'pikachu')): -61.13965116147023
(('pikachu', 'alakazam'), ('move', 'quickattack')): -57.11918835749568
(('venusaur', 'golem'), ('move', 'gigadrain')): -73.36800879141305
(('venusaur', 'golem'), ('switch', 'charizard')): -71.76075581162722
(('blastoise', 'sandslash'), ('switch', 'pikachu')): -54.41640654137986
(('pikachu', 'ninetales'), ('move', 'thunderbolt')): -59.73279218421689
(('charizard', 'nidoqueen'), ('switch', 'blastoise')): -35.03279066926292
(('lapras', 'golem'), ('move', 'psychic')): -57.80017184042216
(('pikachu', 'arcanine'), ('switch', 'snorlax')): -68.69414079563612
(('pikachu', 'nidoking'), ('switch', 'venusaur')): -40.64155411483584
(('lapras', 'golem'), ('move', 'bodyslam')): -64.19947924862984
(('lapras', 'golem'), ('switch', 'charizard')): -58.98101439829769
(('pikachu', 'machamp'), ('switch', 'snorlax')): -61.492860112828424
(('venusaur', 'golem'), ('move', 'sleeppowder')): -67.04955455463302
(('venusaur', 'poliwrath'), ('move', 'frenzyplant')): -57.2853719181948
(('snorlax', 'golem'), ('move', 'crunch')): -65.58380494975268
(('snorlax', 'golem'), ('switch', 'lapras')): -65.52608500410541
(('snorlax', 'ninetales'), ('move', 'recharge')): -53.98293033793406
(('pikachu', 'nidoqueen'), ('move', 'quickattack')): -50.570157273413194
(('snorlax', 'golem'), ('move', 'blizzard')): -66.37238791187062
(('pikachu', 'arcanine'), ('switch', 'blastoise')): -55.45440587204707
(('blastoise', 'nidoqueen'), ('switch', 'pikachu')): -44.78107665816557
(('pikachu', 'alakazam'), ('move', 'thunderbolt')): -59.59425071774575
(('snorlax', 'golem'), ('move', 'gigaimpact')): -68.10373482460079
(('snorlax', 'golem'), ('switch', 'charizard')): -58.997599086167526
(('pikachu', 'golem'), ('switch', 'snorlax')): -48.09599248597786
(('blastoise', 'golem'), ('switch', 'snorlax')): -50.91626028288357
(('pikachu', 'nidoqueen'), ('switch', 'lapras')): -35.81297462843192
(('lapras', 'ninetales'), ('switch', 'pikachu')): -53.38391380005627
(('blastoise', 'poliwrath'), ('move', 'recharge')): -34.76987084101607
(('venusaur', 'golem'), ('switch', 'pikachu')): -70.03924261721035
(('venusaur', 'poliwrath'), ('switch', 'pikachu')): -28.637555454016844
(('pikachu', 'nidoking'), ('switch', 'charizard')): -63.13027657677983
(('blastoise', 'golem'), ('move', 'hydrocannon')): -50.617065650618315
(('pikachu', 'sandslash'), ('switch', 'lapras')): -40.28121996754146
(('venusaur', 'golem'), ('move', 'frenzyplant')): -68.55672965865739
(('blastoise', 'golem'), ('switch', 'lapras')): -48.30432143252828
(('blastoise', 'sandslash'), ('move', 'recharge')): -54.35318951933488
(('blastoise', 'sandslash'), ('switch', 'charizard')): -29.807236987800472
(('blastoise', 'nidoking'), ('switch', 'charizard')): -60.599929123496665
(('blastoise', 'nidoqueen'), ('switch', 'charizard')): -41.66666577289599
(('blastoise', 'nidoqueen'), ('switch', 'snorlax')): -29.194386978443767
(('lapras', 'golem'), ('switch', 'venusaur')): -63.45338936977414
(('pikachu', 'golem'), ('move', 'thunderbolt')): -57.433411879396544
(('charizard', 'nidoqueen'), ('switch', 'pikachu')): -54.70256310550469
(('pikachu', 'nidoqueen'), ('move', 'thunderbolt')): -51.815540576655195
(('pikachu', 'nidoqueen'), ('switch', 'blastoise')): -27.90479817611586
(('charizard', 'golem'), ('switch', 'blastoise')): -67.12970893106558
(('pikachu', 'ninetales'), ('switch', 'blastoise')): -56.39326507080836
(('pikachu', 'golem'), ('switch', 'lapras')): -56.72098553996088
(('venusaur', 'poliwrath'), ('switch', 'lapras')): -40.43278486709453
(('charizard', 'golem'), ('move', 'dragonpulse')): -68.38490592985329
(('charizard', 'golem'), ('switch', 'venusaur')): -61.02585498313083
(('lapras', 'golem'), ('switch', 'snorlax')): -64.15318556461412
(('charizard', 'nidoking'), ('switch', 'blastoise')): -57.8035993834297
(('pikachu', 'ninetales'), ('switch', 'snorlax')): -50.960900186583814
(('blastoise', 'golem'), ('move', 'blizzard')): -53.02181311080757
(('pikachu', 'nidoqueen'), ('switch', 'snorlax')): -38.606229851489076
(('blastoise', 'golem'), ('switch', 'pikachu')): -41.476509860907534
(('blastoise', 'golem'), ('move', 'flashcannon')): -52.98943448421093
